Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2012,04,BOGOTA DC,BOGOTA DC,INUNDACION,2570,83.7,14
2005,12,CHOCO,QUIBDO,DESLIZAMIENTO,53,631.8,26.2
2005,05,CALDAS,RIOSUCIO,DESLIZAMIENTO,2,209.7,27.4
2011,06,VALLE DEL CAUCA,CALI,COLAPSO,954,66.7,25.1
2012,11,QUINDIO,ARMENIA,VENDAVAL,1229,264.1,21.5
2008,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1490,158.9,21.8
2008,12,CAUCA,PUERTO TEJADA,INUNDACION,1000,113.5,23.9
2007,06,TOLIMA,CHAPARRAL,INUNDACION,1000,118.5,23.4
2012,01,META,VISTAHERMOSA,INUNDACION,325,30,27.4
2005,02,SANTANDER,ZAPATOCA,INUNDACION,1810,38.6,18.8
2013,02,SUCRE,SAN BENITO ABAD,VENDAVAL,20,14.7,28.4
2012,09,RISARALDA,SANTUARIO,SEQUIA,1650,169.1,19.2
2013,06,TOLIMA,IBAGUE,INUNDACION,750,92.4,25.1
2011,05,ANTIOQUIA,MUTATA,INUNDACION,132,629.9,26.4
2013,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1018,111.7,23.1
2008,12,HUILA,SANTA MARIA,INUNDACION,1300,108,20.8
2012,08,CUNDINAMARCA,VENECIA,INCENDIO FORESTAL,1600,237.9,20.6
2008,11,NARINO,CONSACA,INUNDACION,1493,139.2,19.4
2008,07,CORDOBA,SAHAGUN,INUNDACION,125,186.4,27.2
2008,11,BOLIVAR,ARJONA,INUNDACION,10,129.3,27.3
2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1229,182.9,22
2012,03,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,5,337.3,26.1
2002,01,CHOCO,LLORO,INUNDACION,90,579.7,26.1
2013,01,SANTANDER,SABANA DE TORRES,INCENDIO FORESTAL,328,43.4,27.7
2007,07,TOLIMA,PURIFICACION,INUNDACION,400,49.7,26
2013,07,TOLIMA,GUAMO,INCENDIO FORESTAL,360,52.5,28.3
2009,11,VALLE DEL CAUCA,BUENAVENTURA,AVALANCHA,5,728.5,25.2
2010,07,TOLIMA,IBAGUE,INUNDACION,750,62.5,25.7
2001,08,ANTIOQUIA,MEDELLIN,INCENDIO FORESTAL,1490,139.7,23.1
2008,08,CUNDINAMARCA,PUERTO SALGAR,VENDAVAL,172,98.5,29.7
2013,03,PUTUMAYO,PUERTO LEGUIZAMO,INCENDIO ESTRUCTURAL,153,243.2,26
2011,10,CUNDINAMARCA,CABRERA,INUNDACION,2050,122.6,16.4
2012,03,ATLANTICO,BARRANQUILLA,COLAPSO,2,1.3,26.9
2012,01,CASANARE,YOPAL,INCENDIO FORESTAL,325,9.6,28.2
2005,09,TOLIMA,HONDA,INUNDACION,222,140.2,28.5
2003,09,ATLANTICO,BARRANQUILLA,VENDAVAL,2,135.7,28.2
2010,04,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1490,170.7,22.4
2009,02,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,954,61.2,25.4
2013,09,LA GUAJIRA,URIBIA,INUNDACION,85,46,28.4
2012,08,HUILA,NEIVA,INCENDIO FORESTAL,1691,48.8,19
2011,02,CUNDINAMARCA,PANDI,VENDAVAL,950,93.4,24.2
2011,09,CHOCO,MEDIO SAN JUAN,INUNDACION,40,600.5,25.9
2013,09,TOLIMA,IBAGUE,DESLIZAMIENTO,750,152.9,25.8
2008,07,TOLIMA,CHAPARRAL,AVALANCHA,1000,99.9,23.7
2013,08,TOLIMA,GUAMO,INCENDIO FORESTAL,360,47.8,29.3
2012,11,ANTIOQUIA,CAREPA,INUNDACION,30,307.1,26.5
2012,04,QUINDIO,ARMENIA,INUNDACION,1229,262.6,22
2010,04,CUNDINAMARCA,SOACHA,INUNDACION,2900,93.8,12
2008,06,ANTIOQUIA,VALDIVIA,DESLIZAMIENTO,1200,408.2,22
2011,10,ATLANTICO,REPELON,INUNDACION,10,161.5,27.7
2007,10,MAGDALENA,SANTA MARTA,INUNDACION,30,266.3,26.6
2010,11,SANTANDER,BARRANCABERMEJA,DESLIZAMIENTO,126,303.1,27.1
2012,12,CAUCA,GUAPI,EXPLOSION,10,377.6,25.7
2010,10,SANTANDER,CERRITO,DESLIZAMIENTO,2698,168.8,13.2
2013,02,ARAUCA,ARAUCA,INCENDIO FORESTAL,128,23.8,28.3
2011,05,NARINO,TUQUERRES,DESLIZAMIENTO,3120,108.4,11.4
2004,05,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2570,96.9,14.1
2013,02,CUNDINAMARCA,FUSAGASUGA,DESLIZAMIENTO,1460,109.8,20.7
2007,05,ATLANTICO,SOLEDAD,INUNDACION,14,118,28.2
2012,07,HUILA,GARZON,INCENDIO FORESTAL,1270,95.1,19.7
2006,04,SANTANDER,PUERTO PARRA,INUNDACION,168,293,28.2
2003,05,CHOCO,RIO QUITO,INUNDACION,45,625.6,26.6
2010,02,NORTE DE SANTANDER,LA PLAYA,SEQUIA,1500,15.5,19.2
2006,05,NORTE DE SANTANDER,OCANA,INUNDACION,1435,144.3,21.9
2010,11,CHOCO,RIOSUCIO,INUNDACION,2,216.9,26.7
2011,11,SANTANDER,GIRON,INUNDACION,777,82.6,25
2010,04,ANTIOQUIA,TURBO,INUNDACION,37,235.2,27.5
2006,05,NORTE DE SANTANDER,CACHIRA,DESLIZAMIENTO,1882,123.1,17.5
2012,07,CESAR,AGUSTIN CODAZZI,INCENDIO ESTRUCTURAL,180,111.7,29.1
2007,12,BOLIVAR,VILLANUEVA,INUNDACION,255,62.8,26.6
2005,02,CHOCO,QUIBDO,INUNDACION,53,500.7,26.7
2012,09,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2900,52.8,11.7
2008,11,META,PUERTO RICO,INUNDACION,285,278.6,26.1
2008,11,TOLIMA,VILLAHERMOSA,INUNDACION,2029,270.8,16.7
2005,01,BOYACA,PUERTO BOYACA,INUNDACION,350,65.6,28
2011,11,HUILA,LA PLATA,DESLIZAMIENTO,1070,164.5,22.2
2012,08,SANTANDER,GUADALUPE,DESLIZAMIENTO,2102,220.7,15.2
2006,11,LA GUAJIRA,DIBULLA,INUNDACION,5,256.7,26.3
2012,06,CUNDINAMARCA,PACHO,INCENDIO FORESTAL,2000,45.6,17
2013,04,CAUCA,PIENDAMO,VENDAVAL,1800,242.6,19.1
2005,12,ANTIOQUIA,TURBO,INUNDACION,37,193.9,27.1
2011,08,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,100,143.3,28.5
1998,12,VALLE DEL CAUCA,FLORIDA,INUNDACION,1013,86,23.4
2011,12,CHOCO,QUIBDO,INUNDACION,53,631.8,26.2
2008,09,CORDOBA,PLANETA RICA,INUNDACION,90,192.6,27.3
2011,11,NARINO,SAMANIEGO,DESLIZAMIENTO,1500,169.7,19.5
2013,04,TOLIMA,HONDA,INCENDIO ESTRUCTURAL,222,194.8,27.4
2013,10,TOLIMA,PURIFICACION,INCENDIO FORESTAL,400,288.6,26.3
2011,07,RISARALDA,PEREIRA,DESLIZAMIENTO,1342,133.5,21.7
2003,09,ANTIOQUIA,CALDAS,INUNDACION,1680,262.7,18.1
2013,04,TOLIMA,ROVIRA,INCENDIO FORESTAL,2020,215.1,17.2
2012,08,SANTANDER,BUCARAMANGA,INUNDACION,1018,81.7,23.2
2008,06,CASANARE,TAURAMENA,INUNDACION,460,444.8,24.8
2013,03,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1018,137.1,23.4
2002,04,CHOCO,BOJAYA,INUNDACION,20,441.9,27.1
2010,11,CALDAS,MANIZALES,DESLIZAMIENTO,2058,176.5,16.6
2012,09,CUNDINAMARCA,SUTATAUSA,INUNDACION,2700,54.2,13.6
2012,08,HUILA,LA PLATA,INCENDIO FORESTAL,1070,46,22.2
2013,06,TOLIMA,ROVIRA,DESLIZAMIENTO,2020,146.9,17
2008,07,ANTIOQUIA,TAMESIS,INUNDACION,1151,192.3,22.7
2006,04,BOGOTA DC,BOGOTA DC,INUNDACION,2570,83.7,14
1999,10,CAUCA,PIENDAMO,DESLIZAMIENTO,1800,221.2,18.9
2007,11,ANTIOQUIA,MEDELLIN,VENDAVAL,1490,158.9,21.8
2010,04,SANTANDER,SABANA DE TORRES,INUNDACION,328,287.2,27.8
2008,12,CALDAS,SUPIA,INUNDACION,1320,155.4,21.8
2013,10,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1018,123.9,22.6
2000,05,NARINO,SAN ANDRES DE TUMACO,INUNDACION,1,360.1,26.4
2013,04,CAUCA,ARGELIA,VENDAVAL,1600,170.1,20.5
2009,05,ANTIOQUIA,FREDONIA,COLAPSO,530,219.7,25.9
2006,05,ANTIOQUIA,APARTADO,INUNDACION,23,330.7,26.8
2009,11,CESAR,SAN MARTIN,INUNDACION,250,215.3,25.7
2006,03,VALLE DEL CAUCA,ZARZAL,INUNDACION,941,142.1,24.7
2011,11,RISARALDA,PEREIRA,INUNDACION,1342,287.9,20.9
2011,09,CALDAS,AGUADAS,DESLIZAMIENTO,2180,189.6,16.7
2013,06,MAGDALENA,ZONA BANANERA,INUNDACION,20,147.1,28.1
2007,03,CAUCA,SANTANDER DE QUILICHAO,INCENDIO ESTRUCTURAL,1015,180.7,23.6
2003,10,LA GUAJIRA,HATONUEVO,INUNDACION,80,146.4,27.9
2003,09,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,53,701.7,26.5
2013,01,CUNDINAMARCA,GACHETA,INCENDIO FORESTAL,1752,28.6,19.1
2009,07,ARAUCA,ARAUCA,INUNDACION,128,309.6,25.7
2011,05,LA GUAJIRA,RIOHACHA,INUNDACION,4,75.9,28.8
2007,06,META,PUERTO RICO,INUNDACION,285,497.6,24.8
2013,03,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2570,73.3,14
1998,07,META,LEJANIAS,INUNDACION,680,409.4,22.2
1999,11,BOLIVAR,MARIA LA BAJA,INUNDACION,20,173.9,27.1
2012,09,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2570,53.1,13.7
2007,04,HUILA,NEIVA,INUNDACION,1691,190.9,18.8
2012,10,LA GUAJIRA,MANAURE,INUNDACION,1,114.1,28.7
2002,02,CAUCA,ARGELIA,SEQUIA,1600,80.3,20.7
2012,09,CAUCA,LA SIERRA,INCENDIO FORESTAL,1870,106.1,18.6
2011,12,BOYACA,NUEVO COLON,INUNDACION,2438,31,14.6
1998,05,CALDAS,SALAMINA,VENDAVAL,2696,172.2,11.7
2006,05,VALLE DEL CAUCA,BUENAVENTURA,DESLIZAMIENTO,5,642.6,26.1
2006,05,BOYACA,CALDAS,DESLIZAMIENTO,1680,316.6,18.3
2008,11,CUNDINAMARCA,SUBACHOQUE,INUNDACION,2590,93.1,11.2
2009,03,BOYACA,VILLA DE LEYVA,INUNDACION,2215,115.3,17.2
2012,08,HUILA,PALERMO,INCENDIO FORESTAL,460,17.6,27.6
2011,04,HUILA,ALGECIRAS,DESLIZAMIENTO,1155,110.4,23.1
2013,09,LA GUAJIRA,HATONUEVO,VENDAVAL,80,148.9,28.7
2001,02,NARINO,BARBACOAS,INCENDIO ESTRUCTURAL,1010,300.1,20.6
2010,02,CUNDINAMARCA,PANDI,SEQUIA,950,93.4,24.2
2012,08,CORDOBA,CHIMA,INUNDACION,1090,257.8,23.4
2012,09,CUNDINAMARCA,PACHO,INCENDIO FORESTAL,2000,98.8,16.9
2012,08,TOLIMA,IBAGUE,INCENDIO FORESTAL,750,74.9,26.4
2008,11,CUNDINAMARCA,ANAPOIMA,INUNDACION,810,147.8,24.5
2007,11,RISARALDA,PEREIRA,DESLIZAMIENTO,1342,287.9,20.9
2010,07,SANTANDER,PUERTO WILCHES,INUNDACION,138,281.1,28.8
2011,04,BOYACA,CUBARA,INUNDACION,370,379.7,24.5
2000,03,SANTANDER,GIRON,DESLIZAMIENTO,777,105.5,25.5
2008,03,CAUCA,PIENDAMO,DESLIZAMIENTO,1800,226,19
2010,12,META,VILLAVICENCIO,INUNDACION,423,186.3,25.9
1999,10,VALLE DEL CAUCA,BOLIVAR,DESLIZAMIENTO,2300,189.9,16.2
1999,10,NORTE DE SANTANDER,SAN CAYETANO,INUNDACION,2150,219.6,16.1
2013,01,HUILA,PALERMO,INCENDIO FORESTAL,460,129.4,26.9
2012,09,RISARALDA,SANTA ROSA DE CABAL,VENDAVAL,1600,189.2,19.4
2001,02,META,VILLAVICENCIO,INCENDIO FORESTAL,423,132.2,27.2
2012,08,GUAVIARE,SAN JOSE DEL GUAVIARE,VENDAVAL,165,273.1,25.1
2013,05,TOLIMA,GUAMO,INUNDACION,360,186.1,27.4
