Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2013,08,TOLIMA,GUAMO,INCENDIO FORESTAL,0-500,0-100,25-30
2011,05,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,200-300,20-25
2011,07,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
1998,09,MAGDALENA,SANTA MARTA,INUNDACION,0-500,100-200,25-30
2001,12,TOLIMA,MELGAR,INUNDACION,0-500,100-200,25-30
2008,05,SANTANDER,RIONEGRO,INUNDACION,2000-2500,200-300,15-20
2012,07,HUILA,PALERMO,INCENDIO FORESTAL,0-500,0-100,25-30
2011,07,MAGDALENA,CONCORDIA,INUNDACION,1500-2000,100-200,15-20
2006,11,CORDOBA,PUERTO ESCONDIDO,MAREJADAS,0-500,100-200,25-30
2012,08,SANTANDER,CHARALA,VENDAVAL,1000-1500,200-300,20-25
2010,07,BOYACA,DUITAMA,INUNDACION,2500-3000,0-100,10-15
2001,05,VALLE DEL CAUCA,BUENAVENTURA,INCENDIO ESTRUCTURAL,0-500,600-700,25-30
2011,10,VALLE DEL CAUCA,EL CERRITO,INUNDACION,2500-3000,100-200,10-15
2005,11,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,200-300,25-30
2011,04,VALLE DEL CAUCA,CALI,DESLIZAMIENTO,500-1000,100-200,25-30
2001,01,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,100-200,20-25
2004,06,CAQUETA,SOLANO,INUNDACION,0-500,300-400,20-25
2013,10,NORTE DE SANTANDER,SALAZAR,ACCIDENTE,1000-1500,400-500,20-25
1998,11,VALLE DEL CAUCA,FLORIDA,DESLIZAMIENTO,1000-1500,100-200,20-25
2012,03,ANTIOQUIA,TURBO,INCENDIO FORESTAL,0-500,0-100,25-30
2011,08,TOLIMA,CAJAMARCA,DESLIZAMIENTO,2000-2500,0-100,15-20
2008,08,SANTANDER,EL CARMEN DE CHUCURI,INUNDACION,500-1000,200-300,20-25
2012,12,TOLIMA,LERIDA,INUNDACION,0-500,0-100,25-30
2002,03,LA GUAJIRA,URIBIA,SEQUIA,0-500,0-100,25-30
2013,01,SANTANDER,MOGOTES,INCENDIO FORESTAL,1500-2000,0-100,15-20
2009,10,MAGDALENA,SALAMINA,INUNDACION,2500-3000,200-300,10-15
2012,02,BOYACA,SOGAMOSO,INCENDIO FORESTAL,2500-3000,0-100,10-15
2010,08,NARINO,PASTO,ERUPCION VOLCANICA,2500-3000,100-200,10-15
2004,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2007,10,ANTIOQUIA,ANDES,DESLIZAMIENTO,1000-1500,200-300,20-25
2008,05,TOLIMA,VALLE DE SAN JUAN,INUNDACION,500-1000,200-300,25-30
2011,05,NORTE DE SANTANDER,CUCUTA,INUNDACION,0-500,200-300,25-30
2010,09,QUINDIO,ARMENIA,INUNDACION,1000-1500,100-200,20-25
2013,08,RISARALDA,PEREIRA,COLAPSO,1000-1500,100-200,20-25
2012,12,ATLANTICO,BARRANQUILLA,VENDAVAL,0-500,0-100,25-30
1999,02,SANTANDER,BARRANCABERMEJA,INUNDACION,0-500,100-200,25-30
2010,09,ANTIOQUIA,BELLO,INUNDACION,1000-1500,100-200,20-25
2013,10,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,100-200,20-25
2012,05,META,VILLAVICENCIO,INCENDIO ESTRUCTURAL,0-500,600-700,25-30
2011,04,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
2010,08,CUNDINAMARCA,CABRERA,INCENDIO ESTRUCTURAL,2000-2500,0-100,15-20
2012,02,ARAUCA,SARAVENA,INCENDIO FORESTAL,0-500,0-100,25-30
2012,10,SANTANDER,GIRON,DESLIZAMIENTO,500-1000,100-200,25-30
2010,11,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
2012,10,TOLIMA,IBAGUE,INUNDACION,500-1000,100-200,20-25
2012,09,MAGDALENA,ZONA BANANERA,INUNDACION,0-500,100-200,25-30
2006,09,CAQUETA,SAN JOSE DEL FRAGUA,VENDAVAL,0-500,200-300,25-30
2000,09,MAGDALENA,SANTA MARTA,INUNDACION,0-500,100-200,25-30
2011,12,CALDAS,SAMANA,DESLIZAMIENTO,1000-1500,800-900,15-20
2011,04,HUILA,SUAZA,INUNDACION,1000-1500,100-200,20-25
2005,03,CUNDINAMARCA,NEMOCON,INCENDIO FORESTAL,2500-3000,0-100,10-15
2013,10,BOLIVAR,PINILLOS,INUNDACION,0-500,300-400,25-30
1999,05,MAGDALENA,EL BANCO,INUNDACION,0-500,200-300,25-30
2013,04,META,VILLAVICENCIO,INUNDACION,0-500,500-600,25-30
2011,07,PUTUMAYO,VILLAGARZON,INUNDACION,0-500,300-400,20-25
2011,05,CUNDINAMARCA,CHOCONTA,INUNDACION,2500-3000,100-200,10-15
2011,09,BOYACA,OTANCHE,DESLIZAMIENTO,1000-1500,200-300,20-25
2005,02,NORTE DE SANTANDER,EL ZULIA,INUNDACION,0-500,0-100,25-30
2003,04,CAQUETA,EL DONCELLO,DESLIZAMIENTO,0-500,400-500,25-30
2011,10,HUILA,LA PLATA,DESLIZAMIENTO,1000-1500,100-200,20-25
2003,11,BOLIVAR,MONTECRISTO,INUNDACION,0-500,400-500,25-30
2012,08,NORTE DE SANTANDER,ABREGO,INCENDIO FORESTAL,1000-1500,100-200,20-25
2008,12,CAUCA,MERCADERES,INUNDACION,500-1000,100-200,25-30
2010,06,CAQUETA,FLORENCIA,INUNDACION,0-500,400-500,20-25
2013,09,VALLE DEL CAUCA,TULUA,INCENDIO FORESTAL,2500-3000,0-100,10-15
2012,04,MAGDALENA,PIVIJAY,INUNDACION,0-500,0-100,25-30
2010,11,NARINO,LA UNION,DESLIZAMIENTO,2000-2500,200-300,10-15
2010,11,NORTE DE SANTANDER,EL ZULIA,DESLIZAMIENTO,0-500,200-300,25-30
2013,09,RISARALDA,PEREIRA,VENDAVAL,1000-1500,100-200,20-25
2009,04,BOLIVAR,ARJONA,VENDAVAL,0-500,0-100,25-30
1998,11,TOLIMA,AMBALEMA,INUNDACION,0-500,100-200,25-30
2011,04,CASANARE,AGUAZUL,DESLIZAMIENTO,0-500,200-300,25-30
2011,10,VALLE DEL CAUCA,LA UNION,INUNDACION,2000-2500,300-400,10-15
2013,09,CUNDINAMARCA,SAN FRANCISCO,INCENDIO FORESTAL,2000-2500,0-100,10-15
2011,04,META,VILLAVICENCIO,DESLIZAMIENTO,0-500,500-600,25-30
2011,04,NORTE DE SANTANDER,PAMPLONA,DESLIZAMIENTO,2000-2500,100-200,15-20
2008,05,TOLIMA,RIOBLANCO,DESLIZAMIENTO,1000-1500,200-300,20-25
2012,11,BOYACA,NOBSA,INCENDIO FORESTAL,2500-3000,0-100,15-20
2013,06,CASANARE,AGUAZUL,INUNDACION,0-500,400-500,25-30
2010,11,BOYACA,SOGAMOSO,DESLIZAMIENTO,2500-3000,0-100,10-15
2004,05,CASANARE,VILLANUEVA,INUNDACION,0-500,400-500,25-30
2005,11,SANTANDER,BARRANCABERMEJA,INUNDACION,0-500,300-400,25-30
2013,07,TOLIMA,IBAGUE,ACCIDENTE,500-1000,0-100,25-30
2010,07,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
2012,10,LA GUAJIRA,VILLANUEVA,INUNDACION,0-500,200-300,25-30
2007,11,SANTANDER,PUERTO WILCHES,INUNDACION,0-500,200-300,25-30
2011,12,HUILA,BARAYA,DESLIZAMIENTO,1000-1500,0-100,20-25
2012,02,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,0-500,100-200,25-30
2004,11,TOLIMA,CAJAMARCA,INUNDACION,2000-2500,0-100,15-20
2008,09,HUILA,SUAZA,INUNDACION,1000-1500,0-100,20-25
1999,08,ANTIOQUIA,NECOCLI,AVALANCHA,0-500,200-300,25-30
2012,09,TOLIMA,ESPINAL,INCENDIO FORESTAL,0-500,100-200,25-30
2009,05,BOGOTA DC,BOGOTA DC,REMOCION EN MASA,2500-3000,0-100,10-15
2013,05,LA GUAJIRA,FONSECA,INUNDACION,0-500,0-100,25-30
2008,02,QUINDIO,CALARCA,DESLIZAMIENTO,1000-1500,100-200,20-25
2013,07,TOLIMA,GUAMO,TORMENTA ELECTRICA,0-500,0-100,25-30
2012,04,NARINO,CONSACA,DESLIZAMIENTO,1000-1500,100-200,15-20
1998,07,CUNDINAMARCA,PUERTO SALGAR,CONTAMINACION,0-500,0-100,25-30
2010,05,VALLE DEL CAUCA,ARGELIA,VENDAVAL,1500-2000,100-200,20-25
2003,10,CHOCO,CONDOTO,VENDAVAL,0-500,600-700,25-30
2011,06,NARINO,TANGUA,DESLIZAMIENTO,2500-3000,0-100,10-15
2007,11,MAGDALENA,SANTA MARTA,INUNDACION,0-500,200-300,25-30
1998,11,CAUCA,MERCADERES,DESLIZAMIENTO,500-1000,100-200,25-30
2013,03,CUNDINAMARCA,GACHETA,INCENDIO FORESTAL,1500-2000,0-100,15-20
2009,03,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,500-600,25-30
2010,09,PUTUMAYO,VILLAGARZON,VENDAVAL,0-500,300-400,25-30
2008,11,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,INUNDACION,0-500,100-200,25-30
2009,04,CAUCA,BOLIVAR,INUNDACION,2000-2500,100-200,15-20
2007,10,VALLE DEL CAUCA,GUADALAJARA DE BUGA,INUNDACION,500-1000,100-200,20-25
2002,03,QUINDIO,ARMENIA,VENDAVAL,1000-1500,100-200,20-25
2012,04,NORTE DE SANTANDER,PAMPLONA,TORMENTA ELECTRICA,2000-2500,100-200,15-20
2004,05,NORTE DE SANTANDER,EL ZULIA,INUNDACION,0-500,100-200,25-30
2012,02,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,0-100,15-20
2012,12,HUILA,NEIVA,DESLIZAMIENTO,1500-2000,100-200,15-20
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2013,02,ARAUCA,ARAUCA,INCENDIO FORESTAL,0-500,0-100,25-30
2011,04,NARINO,TUQUERRES,DESLIZAMIENTO,3000-3500,100-200,10-15
2013,09,BOYACA,OTANCHE,ACCIDENTE DE TRANSITO,1000-1500,200-300,20-25
2010,01,VALLE DEL CAUCA,ARGELIA,SISMO,1500-2000,0-100,20-25
2010,11,VALLE DEL CAUCA,YUMBO,DESLIZAMIENTO,1500-2000,100-200,20-25
2012,06,ANTIOQUIA,VENECIA,INUNDACION,1500-2000,200-300,20-25
2004,11,LA GUAJIRA,DIBULLA,INUNDACION,0-500,200-300,25-30
2010,12,NARINO,LA UNION,INUNDACION,2000-2500,100-200,10-15
2013,04,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
2000,04,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
2010,11,TOLIMA,GUAMO,INUNDACION,0-500,100-200,25-30
2011,08,ARAUCA,TAME,INUNDACION,0-500,200-300,25-30
2012,07,PUTUMAYO,SAN FRANCISCO,DESLIZAMIENTO,2000-2500,0-100,10-15
1998,07,CORDOBA,MONTELIBANO,INUNDACION,0-500,300-400,25-30
2010,01,LA GUAJIRA,MANAURE,SISMO,0-500,0-100,25-30
2012,03,NARINO,CONSACA,DESLIZAMIENTO,1000-1500,100-200,15-20
2012,08,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,0-100,20-25
2012,01,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,0-500,0-100,25-30
2013,05,VALLE DEL CAUCA,BUGALAGRANDE,INUNDACION,1000-1500,100-200,20-25
2013,06,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,0-100,25-30
2008,03,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
2011,02,CUNDINAMARCA,FUSAGASUGA,DESLIZAMIENTO,1000-1500,100-200,20-25
2013,06,CHOCO,SAN JOSE DEL PALMAR,ACCIDENTE DE TRANSITO,1000-1500,200-300,20-25
2007,12,NARINO,PASTO,DESLIZAMIENTO,2500-3000,0-100,10-15
2007,04,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
2012,07,HUILA,PALERMO,INCENDIO FORESTAL,0-500,0-100,25-30
2011,11,ANTIOQUIA,TAMESIS,INUNDACION,1000-1500,200-300,20-25
2011,09,CHOCO,MEDIO SAN JUAN,INUNDACION,0-500,600-700,25-30
2010,11,NARINO,SAMANIEGO,DESLIZAMIENTO,1500-2000,100-200,15-20
2008,11,CUNDINAMARCA,FUSAGASUGA,INUNDACION,1000-1500,100-200,20-25
1998,10,ATLANTICO,MANATI,INUNDACION,0-500,100-200,25-30
2011,12,SANTANDER,SABANA DE TORRES,INUNDACION,0-500,100-200,25-30
2009,04,NARINO,TUQUERRES,DESLIZAMIENTO,3000-3500,100-200,10-15
2010,03,TOLIMA,IBAGUE,VENDAVAL,500-1000,100-200,25-30
2012,09,TOLIMA,PRADO,INCENDIO FORESTAL,0-500,100-200,25-30
2008,02,VALLE DEL CAUCA,PALMIRA,INUNDACION,1000-1500,0-100,20-25
2012,04,NORTE DE SANTANDER,CHINACOTA,DESLIZAMIENTO,1000-1500,100-200,20-25
2006,03,CAUCA,CAJIBIO,VENDAVAL,1500-2000,200-300,15-20
2012,09,CUNDINAMARCA,PACHO,INCENDIO FORESTAL,2000-2500,0-100,15-20
2004,11,SANTANDER,LEBRIJA,INUNDACION,1000-1500,100-200,20-25
2010,04,META,MESETAS,INUNDACION,500-1000,300-400,20-25
2006,11,ANTIOQUIA,BELLO,DESLIZAMIENTO,1000-1500,100-200,20-25
2012,11,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,20-25
2012,08,NARINO,PASTO,INCENDIO FORESTAL,2500-3000,100-200,10-15
2013,04,BOYACA,MONIQUIRA,INUNDACION,1500-2000,200-300,15-20
2010,12,CORDOBA,LORICA,INUNDACION,0-500,0-100,25-30
2009,07,QUINDIO,ARMENIA,VENDAVAL,1000-1500,100-200,20-25
1999,03,HUILA,IQUIRA,DESLIZAMIENTO,1000-1500,200-300,20-25
2011,06,SANTANDER,CHIMA,DESLIZAMIENTO,1000-1500,200-300,20-25
2011,04,RISARALDA,SANTA ROSA DE CABAL,DESLIZAMIENTO,1500-2000,200-300,15-20
1998,09,NORTE DE SANTANDER,ABREGO,INUNDACION,1000-1500,200-300,20-25
2012,03,SANTANDER,PALMAR,VENDAVAL,500-1000,100-200,25-30
2012,03,LA GUAJIRA,MAICAO,INCENDIO FORESTAL,0-500,0-100,25-30
2013,05,ANTIOQUIA,MEDELLIN,INUNDACION,1000-1500,200-300,20-25
2013,05,NORTE DE SANTANDER,TIBU,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
2009,04,META,VILLAVICENCIO,VENDAVAL,0-500,500-600,25-30
2011,10,HUILA,TELLO,AVALANCHA,1000-1500,200-300,20-25
2011,11,CUNDINAMARCA,SUBACHOQUE,INUNDACION,2500-3000,0-100,10-15
2011,06,RISARALDA,PEREIRA,COLAPSO,1000-1500,100-200,20-25
2012,09,CUNDINAMARCA,PACHO,INCENDIO FORESTAL,2000-2500,0-100,15-20
2009,10,CUNDINAMARCA,SAN FRANCISCO,VENDAVAL,2000-2500,100-200,10-15
2010,11,TOLIMA,CAJAMARCA,INUNDACION,2000-2500,0-100,15-20
1998,01,NORTE DE SANTANDER,PAMPLONA,INC.FORESTAL,2000-2500,0-100,10-15
2011,07,ANTIOQUIA,CALDAS,DESLIZAMIENTO,1500-2000,100-200,15-20
2011,08,CUNDINAMARCA,SOACHA,DESLIZAMIENTO,2500-3000,0-100,10-15
2011,01,BOLIVAR,PINILLOS,INUNDACION,0-500,0-100,25-30
2007,08,CORDOBA,MONTERIA,INUNDACION,0-500,100-200,25-30
2008,05,TOLIMA,HONDA,INUNDACION,0-500,100-200,25-30
2003,10,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,200-300,20-25
2011,04,CESAR,SAN MARTIN,INUNDACION,0-500,300-400,25-30
2005,05,VALLE DEL CAUCA,BOLIVAR,DESLIZAMIENTO,2000-2500,100-200,15-20
2009,12,NARINO,TAMINANGO,SEQUIA,1500-2000,100-200,15-20
2011,09,CORDOBA,BUENAVISTA,INUNDACION,2000-2500,100-200,15-20
2013,10,LA GUAJIRA,RIOHACHA,INUNDACION,0-500,100-200,25-30
2013,09,CUNDINAMARCA,TENJO,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
2012,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2011,07,BOYACA,SOCOTA,COLAPSO,3500-4000,400-500,5-10
2012,02,BOYACA,SOGAMOSO,INCENDIO FORESTAL,2500-3000,0-100,10-15
2004,08,ANTIOQUIA,VALDIVIA,VENDAVAL,1000-1500,400-500,20-25
1999,09,ATLANTICO,BARRANQUILLA,DESLIZAMIENTO,0-500,100-200,25-30
2010,11,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
2009,10,CALDAS,ANSERMA,VENDAVAL,1500-2000,200-300,15-20
2011,11,PUTUMAYO,MOCOA,VENDAVAL,500-1000,200-300,20-25
2008,05,HUILA,COLOMBIA,INUNDACION,1000-1500,200-300,15-20
2010,07,CUNDINAMARCA,CHOACHI,DESLIZAMIENTO,3000-3500,100-200,5-10
2004,10,TOLIMA,IBAGUE,INUNDACION,500-1000,100-200,20-25
2009,10,LA GUAJIRA,MAICAO,INUNDACION,0-500,200-300,25-30
2013,02,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,0-100,20-25
2012,09,CUNDINAMARCA,FUSAGASUGA,INUNDACION,1000-1500,0-100,20-25
2010,09,NORTE DE SANTANDER,SAN CAYETANO,VENDAVAL,2000-2500,0-100,15-20
2000,02,BOYACA,OTANCHE,DESLIZAMIENTO,1000-1500,200-300,20-25
2008,08,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
2012,11,SANTANDER,PUERTO PARRA,INUNDACION,0-500,200-300,25-30
2003,03,SANTANDER,GIRON,INUNDACION,500-1000,100-200,25-30
2013,01,BOYACA,DUITAMA,INCENDIO FORESTAL,2500-3000,100-200,10-15
2013,05,CAQUETA,FLORENCIA,DESLIZAMIENTO,0-500,400-500,20-25
1999,11,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
2013,03,TOLIMA,ESPINAL,ACCIDENTE DE TRANSITO,0-500,100-200,25-30
2011,06,CUNDINAMARCA,COGUA,VENDAVAL,3000-3500,0-100,10-15
2013,09,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,25-30
2012,09,CUNDINAMARCA,FUNZA,INCENDIO FORESTAL,2500-3000,0-100,10-15
2010,11,CUNDINAMARCA,SOACHA,INUNDACION,2500-3000,0-100,10-15
2010,11,BOLIVAR,ZAMBRANO,INUNDACION,0-500,0-100,25-30
2012,07,PUTUMAYO,VILLAGARZON,INUNDACION,0-500,300-400,20-25
2013,07,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2013,02,SANTANDER,GIRON,INCENDIO FORESTAL,500-1000,0-100,25-30
2008,06,MAGDALENA,ZONA BANANERA,INUNDACION,0-500,100-200,25-30
2013,01,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2005,08,CORDOBA,CERETE,INUNDACION,0-500,100-200,25-30
2012,07,TOLIMA,IBAGUE,INUNDACION,500-1000,0-100,25-30
2013,01,HUILA,SUAZA,INCENDIO FORESTAL,1000-1500,0-100,20-25
2011,12,HUILA,NEIVA,DESLIZAMIENTO,1500-2000,100-200,15-20
2008,05,TOLIMA,LERIDA,INUNDACION,0-500,200-300,25-30
2012,09,CAUCA,TOTORO,INCENDIO FORESTAL,3000-3500,0-100,10-15
2012,05,NARINO,SAN PABLO,INUNDACION,0-500,300-400,25-30
2012,07,NARINO,PASTO,VENDAVAL,2500-3000,100-200,10-15
2010,11,VALLE DEL CAUCA,CALI,INUNDACION,500-1000,100-200,20-25
2011,09,TOLIMA,AMBALEMA,INUNDACION,0-500,100-200,25-30
2011,11,BOYACA,TUNJA,INUNDACION,2500-3000,0-100,10-15
1999,10,CESAR,VALLEDUPAR,INUNDACION,0-500,100-200,25-30
2012,04,BOYACA,SAMACA,DESLIZAMIENTO,2500-3000,0-100,10-15
2010,10,NORTE DE SANTANDER,PAMPLONA,AVALANCHA,2000-2500,100-200,15-20
2009,06,CALDAS,RIOSUCIO,VENDAVAL,0-500,200-300,25-30
2012,06,CUNDINAMARCA,CABRERA,INUNDACION,2000-2500,0-100,15-20
2010,12,VALLE DEL CAUCA,BUENAVENTURA,INCENDIO ESTRUCTURAL,0-500,600-700,25-30
1999,05,ANTIOQUIA,BELLO,INUNDACION,1000-1500,100-200,20-25
1999,11,CESAR,AGUSTIN CODAZZI,AVALANCHA,0-500,100-200,25-30
2012,02,ANTIOQUIA,BARBOSA,INCENDIO FORESTAL,1500-2000,0-100,20-25
2002,01,TOLIMA,IBAGUE,VENDAVAL,500-1000,0-100,25-30
2008,11,NORTE DE SANTANDER,ABREGO,INUNDACION,1000-1500,0-100,20-25
2010,11,NORTE DE SANTANDER,SARDINATA,INUNDACION,0-500,200-300,25-30
2009,02,VALLE DEL CAUCA,EL CERRITO,INUNDACION,2500-3000,0-100,10-15
2007,06,PUTUMAYO,MOCOA,DESLIZAMIENTO,500-1000,400-500,20-25
2011,10,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,200-300,20-25
2010,11,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,0-500,700-800,25-30
1999,12,CHOCO,BAHIA SOLANO,INUNDACION,0-500,400-500,25-30
2011,04,HUILA,IQUIRA,DESLIZAMIENTO,1000-1500,200-300,20-25
2004,03,CAUCA,MERCADERES,DESLIZAMIENTO,500-1000,100-200,25-30
2010,05,CAQUETA,PUERTO RICO,INUNDACION,0-500,500-600,25-30
2013,02,CASANARE,AGUAZUL,INCENDIO FORESTAL,0-500,0-100,25-30
1999,11,SANTANDER,BARRANCABERMEJA,INUNDACION,0-500,300-400,25-30
2011,06,CAUCA,MIRANDA,INUNDACION,1000-1500,0-100,20-25
2011,11,MAGDALENA,EL BANCO,INUNDACION,0-500,200-300,25-30
2013,05,VALLE DEL CAUCA,TULUA,INUNDACION,2500-3000,0-100,10-15
2006,05,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
2011,05,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
2004,11,CUNDINAMARCA,PANDI,DESLIZAMIENTO,500-1000,100-200,20-25
2004,06,PUTUMAYO,PUERTO LEGUIZAMO,INUNDACION,0-500,300-400,20-25
2010,11,HUILA,PITALITO,VENDAVAL,1000-1500,0-100,20-25
2009,03,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,100-200,20-25
2009,04,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,200-300,20-25
2013,02,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,0-100,15-20
2012,04,HUILA,GARZON,INUNDACION,1000-1500,100-200,20-25
2013,05,CORDOBA,CERETE,INUNDACION,0-500,100-200,25-30
2006,05,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
2012,08,LA GUAJIRA,RIOHACHA,VENDAVAL,0-500,0-100,25-30
2012,02,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,0-500,100-200,25-30
2010,12,ATLANTICO,BARRANQUILLA,DESLIZAMIENTO,0-500,0-100,25-30
2013,08,CAQUETA,EL DONCELLO,VENDAVAL,0-500,200-300,20-25
2013,04,TOLIMA,VILLAHERMOSA,DESLIZAMIENTO,2000-2500,200-300,15-20
2012,11,CORDOBA,MONTERIA,INCENDIO ESTRUCTURAL,0-500,0-100,25-30
2013,09,CUNDINAMARCA,MADRID,INCENDIO FORESTAL,2500-3000,0-100,10-15
2008,11,NARINO,TAMINANGO,INUNDACION,1500-2000,200-300,15-20
2012,01,ANTIOQUIA,APARTADO,INCENDIO FORESTAL,0-500,0-100,25-30
2003,09,CORDOBA,CIENAGA DE ORO,INUNDACION,0-500,100-200,25-30
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2007,04,ATLANTICO,BARRANQUILLA,COLAPSO ESTRUCTURAL,0-500,0-100,25-30
2010,10,BOGOTA DC,BOGOTA DC,GRANIZADA,2500-3000,100-200,10-15
2009,01,NARINO,ALBAN,DESLIZAMIENTO,2000-2500,0-100,15-20
1999,05,ANTIOQUIA,BARBOSA,DESLIZAMIENTO,1500-2000,200-300,20-25
2007,06,SUCRE,SAN BENITO ABAD,INUNDACION,0-500,200-300,25-30
2013,03,HUILA,PITALITO,VENDAVAL,1000-1500,100-200,20-25
2010,12,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,0-100,20-25
2006,06,ANTIOQUIA,MEDELLIN,INUNDACION,1000-1500,100-200,20-25
2004,10,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,20-25
1998,10,CALDAS,MANIZALES,INC.ESTRUCTURAL,2000-2500,200-300,15-20
2013,03,MAGDALENA,PIVIJAY,VENDAVAL,0-500,0-100,25-30
2004,10,CORDOBA,LORICA,INUNDACION,0-500,100-200,25-30
2012,08,BOLIVAR,SANTA CATALINA,VENDAVAL,0-500,100-200,25-30
1999,06,BOYACA,PAJARITO,INUNDACION,1500-2000,300-400,15-20
2012,05,HUILA,PALERMO,INUNDACION,0-500,100-200,25-30
2010,11,BOYACA,VILLA DE LEYVA,INUNDACION,2000-2500,100-200,15-20
2012,03,BOYACA,SAMACA,INCENDIO FORESTAL,2500-3000,0-100,10-15
2005,04,HUILA,PITALITO,INUNDACION,1000-1500,100-200,20-25
2005,11,ATLANTICO,JUAN DE ACOSTA,INUNDACION,0-500,100-200,25-30
2005,08,NORTE DE SANTANDER,SAN CAYETANO,DESLIZAMIENTO,2000-2500,0-100,15-20
2008,02,HUILA,GARZON,VENDAVAL,1000-1500,0-100,20-25
2012,05,ATLANTICO,SOLEDAD,VENDAVAL,0-500,100-200,25-30
2007,12,CAUCA,ARGELIA,DESLIZAMIENTO,1500-2000,0-100,20-25
2002,04,CHOCO,QUIBDO,INUNDACION,0-500,700-800,25-30
2010,03,ANTIOQUIA,FRONTINO,VENDAVAL,1000-1500,100-200,20-25
2009,06,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
2013,10,TOLIMA,AMBALEMA,INUNDACION,0-500,100-200,25-30
2006,05,BOLIVAR,PINILLOS,INUNDACION,0-500,200-300,25-30
2008,02,VALLE DEL CAUCA,YUMBO,INUNDACION,1500-2000,0-100,20-25
2009,07,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
2006,11,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,200-300,20-25
2011,04,CUNDINAMARCA,TENJO,DESLIZAMIENTO,2500-3000,0-100,10-15
2003,04,TOLIMA,IBAGUE,INUNDACION,500-1000,200-300,20-25
2011,06,CUNDINAMARCA,SOACHA,VENDAVAL,2500-3000,0-100,10-15
2004,10,ANTIOQUIA,CAREPA,INUNDACION,0-500,300-400,25-30
2012,10,RISARALDA,SANTA ROSA DE CABAL,DESLIZAMIENTO,1500-2000,200-300,15-20
1999,11,VALLE DEL CAUCA,TULUA,INUNDACION,2500-3000,100-200,10-15
