id,Anio,Mes,Departamento,Municipio,Deslizamiento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2034,2013,08,PUTUMAYO,VILLAGARZON,NO,358,260.4,24.5
2035,2008,05,BOGOTA DC,BOGOTA DC,SI,2570,96.9,14.1
2036,2002,11,ANTIOQUIA,MEDELLIN,NO,1490,158.9,21.8
2037,2013,08,TOLIMA,IBAGUE,NO,750,74.9,26.4
2038,2008,11,BOYACA,PUERTO BOYACA,NO,350,190.4,27.1
2039,2011,05,CESAR,BECERRIL,NO,170,209.8,27.7
2040,2008,11,SANTANDER,BARRANCABERMEJA,NO,126,303.1,27.1
2041,2013,04,META,VISTAHERMOSA,NO,325,358.9,25.8
2042,2010,11,RISARALDA,SANTUARIO,SI,1650,217.2,18.7
2043,2013,04,SANTANDER,BUCARAMANGA,NO,1018,120.6,23.3
2044,2009,01,NARINO,TAMINANGO,SI,1875,138.2,17.3
2045,2011,04,VALLE DEL CAUCA,ARGELIA,SI,1600,170.1,20.5
2046,2011,06,NARINO,SAPUYES,SI,3000,64.3,11.6
2047,2006,05,BOGOTA DC,BOGOTA DC,SI,2570,96.9,14.1
2048,2013,06,BOGOTA DC,BOGOTA DC,NO,2570,58,14
2049,2012,06,SANTANDER,BUCARAMANGA,NO,1018,90.7,23.2
2050,2007,04,NORTE DE SANTANDER,SALAZAR,NO,1000,261.3,22.3
2051,2012,10,HUILA,IQUIRA,NO,1095,197.5,23.5
2052,1998,09,ANTIOQUIA,SANTO DOMINGO,SI,1700,474.3,21.4
2053,2001,01,CUNDINAMARCA,COGUA,NO,3100,41.5,10.2
2054,2008,11,SANTANDER,SABANA DE TORRES,NO,328,292.2,27
2055,2009,03,HUILA,AGRADO,SI,780,119.2,24.2
2056,2011,11,RISARALDA,PUEBLO RICO,SI,1530,298.4,18.1
2057,2011,12,HUILA,NEIVA,NO,1691,168.7,18.5
2058,2011,11,HUILA,CAMPOALEGRE,SI,553,206.8,25.8
2059,2011,04,CUNDINAMARCA,TABIO,NO,2620,91.4,14.2
2060,2012,04,SANTANDER,BUCARAMANGA,NO,1018,120.6,23.3
2061,2013,03,CHOCO,QUIBDO,NO,53,554.5,26.9
2062,2013,08,TOLIMA,PRADO,NO,349,38.6,29
2063,2012,06,CUNDINAMARCA,SAN BERNARDO,NO,2190,74.7,15.7
2064,2010,05,ANTIOQUIA,VEGACHI,NO,995,253.9,22.7
2065,2007,03,CAUCA,SOTARA,NO,2450,172.7,14
2066,1998,06,CORDOBA,LORICA,NO,30,145.4,27.6
2067,2012,04,PUTUMAYO,MOCOA,NO,650,383.5,23
2068,1999,12,HUILA,CAMPOALEGRE,NO,553,169.4,25.7
2069,2012,03,PUTUMAYO,MOCOA,NO,650,273.1,23.2
2070,2010,11,HUILA,COLOMBIA,NO,1476,187.8,19.3
2071,2012,07,SANTANDER,GAMBITA,NO,1900,141.6,18
2072,2012,07,CHOCO,QUIBDO,NO,53,804.6,26.8
2073,2011,12,HUILA,SANTA MARIA,SI,1300,108,20.8
2074,2002,03,VALLE DEL CAUCA,GUADALAJARA DE BUGA,NO,979,124,24
2075,2013,10,CUNDINAMARCA,SOACHA,NO,2900,98.2,11.7
2076,2009,11,BOGOTA DC,BOGOTA DC,SI,2570,95.3,13.8
2077,2012,07,NORTE DE SANTANDER,SARDINATA,NO,320,54.8,27.5
2078,2012,01,CASANARE,YOPAL,NO,325,9.6,28.2
2079,2013,08,CALDAS,MANIZALES,SI,2058,74.2,17.2
2080,2011,10,CESAR,CHIRIGUANA,NO,40,281.5,27.6
2081,2011,04,CHOCO,QUIBDO,NO,53,707.2,26.9
2082,2010,12,BOGOTA DC,BOGOTA DC,SI,2570,53.9,13.9
2083,2013,07,TOLIMA,ARMERO,NO,300,89.2,28.7
2084,2013,08,LA GUAJIRA,ALBANIA,SI,1690,125.8,18.9
2085,2013,06,CHOCO,QUIBDO,NO,53,728.1,26.8
2086,2013,08,TOLIMA,ARMERO,NO,300,123.3,29.2
2087,2007,03,VALLE DEL CAUCA,BUENAVENTURA,NO,5,337.3,26.1
2088,2012,03,RISARALDA,PEREIRA,NO,1342,220.2,21.9
2089,2013,03,CASANARE,AGUAZUL,NO,380,102.1,28
2090,2012,09,QUINDIO,CALARCA,NO,1450,140.8,20.4
2091,1999,04,CAUCA,GUAPI,NO,10,436.3,26.3
2092,2012,04,VALLE DEL CAUCA,ZARZAL,NO,941,156.6,24.2
2093,2010,11,SANTANDER,BUCARAMANGA,SI,1018,104.1,22.6
2094,2013,08,RISARALDA,SANTA ROSA DE CABAL,NO,1600,173.7,20.1
2095,2005,02,SANTANDER,GIRON,NO,777,70.8,25.4
2096,2000,02,VALLE DEL CAUCA,PALMIRA,NO,1058,68.5,23.5
2097,2005,10,LA GUAJIRA,MAICAO,NO,118,214.3,27
2098,2009,03,TOLIMA,PLANADAS,NO,1355,225.6,22.5
2099,2004,11,ANTIOQUIA,VALDIVIA,SI,1200,466.3,21.4
2100,2008,11,QUINDIO,CALARCA,NO,1450,313.1,19.9
2101,2007,02,CHOCO,QUIBDO,NO,53,500.7,26.7
2102,2011,04,NORTE DE SANTANDER,CONVENCION,SI,1076,128.3,22.2
2103,2005,06,CORDOBA,LORICA,NO,30,145.4,27.6
2104,2004,03,BOYACA,SATIVANORTE,NO,2594,91.3,15.5
2105,2000,12,CHOCO,BOJAYA,NO,20,347.2,26.5
2106,2009,03,TOLIMA,IBAGUE,NO,750,115.1,25.1
2107,2012,08,CUNDINAMARCA,FUSAGASUGA,NO,1460,43.7,20.5
2108,2001,01,CUNDINAMARCA,FUSAGASUGA,NO,1460,121.3,20.6
2109,2011,04,NARINO,PASTO,SI,2830,142.1,12.1
2110,2012,02,ATLANTICO,BARRANQUILLA,NO,2,1.3,26.6
2111,2012,07,VALLE DEL CAUCA,YUMBO,NO,1500,44.8,21.1
2112,2008,12,BOYACA,SATIVANORTE,NO,2594,61.3,15.3
2113,2010,08,CORDOBA,BUENAVISTA,NO,2200,64.8,16.2
2114,2012,10,CUNDINAMARCA,NEMOCON,NO,2580,74.8,14.1
2115,2001,02,VALLE DEL CAUCA,ZARZAL,NO,941,74.9,24.9
2116,2008,04,NORTE DE SANTANDER,CUCUTA,NO,100,248.2,27.6
2117,2011,11,NORTE DE SANTANDER,CUCUTA,SI,100,290.6,27.3
2118,2011,04,CUNDINAMARCA,FUQUENE,NO,2580,151.7,14.7
2119,2011,10,CUNDINAMARCA,GRANADA,NO,360,276.8,25.5
2120,2013,01,VALLE DEL CAUCA,CALI,NO,954,74.8,25.3
2121,2011,12,CUNDINAMARCA,FUSAGASUGA,NO,1460,130.3,20.3
2122,1999,11,NORTE DE SANTANDER,SAN CAYETANO,NO,2150,199.9,16.1
2123,2000,02,BOYACA,DUITAMA,NO,2700,138.5,12
2124,2004,11,LA GUAJIRA,MANAURE,NO,1,68.1,28.7
2125,2011,09,QUINDIO,ARMENIA,NO,1229,182.9,22
2126,2013,10,HUILA,NEIVA,NO,1691,220.8,18.7
2127,2005,05,ANTIOQUIA,SAN CARLOS,NO,1113,454.5,23
2128,2011,04,HUILA,PITALITO,NO,1320,135.9,20.7
2129,2011,10,NORTE DE SANTANDER,EL ZULIA,NO,90,274.6,27.8
2130,2012,01,CASANARE,YOPAL,NO,325,9.6,28.2
2131,2012,09,SANTANDER,BUCARAMANGA,NO,1018,117.8,23
2132,2013,09,CESAR,VALLEDUPAR,NO,70,183.8,28
2133,2008,10,CESAR,VALLEDUPAR,NO,70,193.1,27.7
2134,2013,04,ANTIOQUIA,TURBO,NO,37,235.2,27.5
2135,2004,10,NORTE DE SANTANDER,OCANA,NO,1435,149.7,21.4
2136,2012,01,NARINO,CHACHAGUI,SI,1816,99.4,18.7
2137,1998,11,TOLIMA,CHAPARRAL,NO,1000,396.7,22.7
2138,2009,05,BOYACA,QUIPAMA,SI,1250,338.3,21.7
2139,2010,07,ANTIOQUIA,CAUCASIA,NO,55,393,28
2140,2006,11,MAGDALENA,SANTA MARTA,NO,30,211.9,26.5
2141,2010,04,CUNDINAMARCA,SAN FRANCISCO,NO,2475,152.6,14
2142,2001,02,NORTE DE SANTANDER,PAMPLONA,NO,2340,36.6,14.4
2143,2002,08,CHOCO,MEDIO SAN JUAN,NO,40,668.1,26
2144,2007,05,CESAR,AGUACHICA,NO,208,190.5,28.3
2145,2007,08,CHOCO,QUIBDO,NO,53,865.8,26.8
2146,2004,05,META,VILLAVICENCIO,NO,423,673.8,25.2
2147,2001,08,SANTANDER,EL CARMEN DE CHUCURI,NO,815,220,24.3
2148,2013,01,BOGOTA DC,BOGOTA DC,NO,2570,33.3,13.8
2149,2007,10,SANTANDER,EL CARMEN DE CHUCURI,NO,815,273.9,23.7
2150,2010,12,BOLIVAR,ARJONA,NO,10,49.2,27.3
2151,2013,01,SANTANDER,TONA,NO,3214,14,8.5
2152,2007,07,CESAR,VALLEDUPAR,NO,70,105.5,29.2
2153,2010,11,BOGOTA DC,BOGOTA DC,SI,2570,95.3,13.8
2154,2010,05,META,LEJANIAS,NO,680,513.8,23
2155,2013,02,META,PUERTO LLERAS,NO,245,78.8,27
2156,2012,04,CASANARE,VILLANUEVA,NO,255,314.3,25.8
2157,2011,04,TOLIMA,IBAGUE,NO,750,200.7,24.7
2158,2010,10,BOLIVAR,MARIA LA BAJA,NO,20,237.8,27
2159,2009,12,CALDAS,MANIZALES,NO,2058,131.5,16.8
2160,2011,12,CAUCA,PURACE,NO,2085,111.2,16
2161,2011,09,ATLANTICO,BARRANQUILLA,NO,2,135.7,28.2
2162,2013,08,CAQUETA,FLORENCIA,NO,280,300.9,24.4
2163,2010,10,BOGOTA DC,BOGOTA DC,SI,2570,101,13.8
2164,2004,02,BOLIVAR,SAN PABLO,NO,165,67.5,28.9
2165,2008,09,ANTIOQUIA,FREDONIA,SI,530,214.1,25.7
