id,Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
1627,2013,05,CESAR,VALLEDUPAR,INUNDACION,0-500,100-200,25-30
1628,1999,10,CORDOBA,PLANETA RICA,INUNDACION,0-500,100-200,25-30
1629,2011,09,SUCRE,COLOSO,INUNDACION,0-500,100-200,25-30
1630,2011,12,CAQUETA,FLORENCIA,INUNDACION,0-500,100-200,25-30
1631,2012,01,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
1632,2010,05,HUILA,GIGANTE,VENDAVAL,1500-2000,100-200,20-25
1633,2009,06,CESAR,SAN DIEGO,VENDAVAL,0-500,100-200,25-30
1634,2013,10,BOYACA,SOCOTA,ACCIDENTE MINERO,3500-4000,100-200,5-10
1635,2013,09,TOLIMA,VILLAHERMOSA,VENDAVAL,2000-2500,200-300,15-20
1636,2011,10,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1000-1500,100-200,20-25
1637,2008,11,CHOCO,MEDIO SAN JUAN,INUNDACION,0-500,500-600,25-30
1638,2011,06,CAUCA,MERCADERES,VENDAVAL,500-1000,0-100,25-30
1639,2006,02,RISARALDA,PEREIRA,INUNDACION,1000-1500,100-200,20-25
1640,2004,09,LA GUAJIRA,HATONUEVO,VENDAVAL,0-500,100-200,25-30
1641,2013,01,BOYACA,SOGAMOSO,INCENDIO FORESTAL,2500-3000,0-100,10-15
1642,2011,04,TOLIMA,IBAGUE,VENDAVAL,500-1000,200-300,20-25
1643,2002,05,SANTANDER,BARRANCABERMEJA,VENDAVAL,0-500,300-400,25-30
1644,2006,04,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
1645,2012,02,CASANARE,AGUAZUL,INCENDIO FORESTAL,0-500,0-100,25-30
1646,2010,06,NORTE DE SANTANDER,ABREGO,INUNDACION,1000-1500,0-100,20-25
1647,2010,06,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
1648,2013,07,PUTUMAYO,SIBUNDOY,INUNDACION,2000-2500,200-300,10-15
1649,2011,06,CAUCA,PUERTO TEJADA,INUNDACION,1000-1500,0-100,20-25
1650,2012,03,VALLE DEL CAUCA,BUENAVENTURA,INCENDIO FORESTAL,0-500,300-400,25-30
1651,2011,06,BOYACA,CHISCAS,INUNDACION,2000-2500,100-200,15-20
1652,2012,10,ANTIOQUIA,CHIGORODO,INUNDACION,0-500,400-500,25-30
1653,2012,10,SANTANDER,BUCARAMANGA,INUNDACION,1000-1500,100-200,20-25
1654,2012,07,ANTIOQUIA,VENECIA,COLAPSO,1500-2000,100-200,20-25
1655,2011,10,BOLIVAR,EL GUAMO,INUNDACION,0-500,100-200,25-30
1656,2005,02,CORDOBA,SAHAGUN,INCENDIO ESTRUCTURAL,0-500,0-100,25-30
1657,2013,09,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
1658,2006,04,RISARALDA,SANTUARIO,VENDAVAL,1500-2000,200-300,15-20
1659,2001,02,CESAR,BECERRIL,INCENDIO FORESTAL,0-500,0-100,25-30
1660,2008,11,LA GUAJIRA,DIBULLA,INUNDACION,0-500,200-300,25-30
1661,2004,08,CUNDINAMARCA,TENJO,INCENDIO FORESTAL,2500-3000,0-100,10-15
1662,2013,02,CASANARE,VILLANUEVA,INCENDIO FORESTAL,0-500,0-100,25-30
1663,2010,12,BOYACA,CHISCAS,DESLIZAMIENTO,2000-2500,0-100,15-20
1664,2011,09,CASANARE,AGUAZUL,INUNDACION,0-500,300-400,25-30
1665,2009,12,CAUCA,ARGELIA,DESLIZAMIENTO,1500-2000,0-100,20-25
1666,2010,10,CUNDINAMARCA,GACHETA,DESLIZAMIENTO,1500-2000,100-200,15-20
1667,2003,10,ANTIOQUIA,CAUCASIA,INUNDACION,0-500,300-400,25-30
1668,2012,09,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,100-200,20-25
1669,1998,02,CHOCO,CONDOTO,INUNDACION,0-500,500-600,25-30
1670,2011,06,BOYACA,SAMACA,INUNDACION,2500-3000,0-100,10-15
1671,2012,09,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
1672,2010,07,LA GUAJIRA,VILLANUEVA,INUNDACION,0-500,300-400,20-25
1673,2011,05,SANTANDER,BARRANCABERMEJA,DESLIZAMIENTO,0-500,300-400,25-30
1674,2008,12,TOLIMA,ATACO,INUNDACION,500-1000,200-300,25-30
1675,2009,11,SUCRE,LA UNION,INUNDACION,2000-2500,200-300,10-15
1676,2012,08,BOYACA,OTANCHE,VENDAVAL,1000-1500,200-300,20-25
1677,2010,12,VALLE DEL CAUCA,EL CERRITO,INUNDACION,2500-3000,100-200,10-15
1678,2013,10,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,100-200,10-15
1679,2000,05,SANTANDER,BUCARAMANGA,INUNDACION,1000-1500,100-200,20-25
1680,2007,05,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,200-300,20-25
1681,2013,02,BOYACA,PAIPA,ACCIDENTE MINERO,2000-2500,0-100,15-20
1682,2012,07,PUTUMAYO,SAN FRANCISCO,INUNDACION,2000-2500,0-100,10-15
1683,2009,04,BOYACA,VILLA DE LEYVA,INUNDACION,2000-2500,100-200,15-20
1684,2013,01,ANTIOQUIA,BELLO,INCENDIO FORESTAL,1000-1500,0-100,20-25
1685,2011,02,NARINO,CHACHAGUI,DESLIZAMIENTO,1500-2000,0-100,15-20
1686,2004,08,SANTANDER,LANDAZURI,VENDAVAL,1000-1500,200-300,20-25
1687,2013,08,TOLIMA,GUAMO,INCENDIO FORESTAL,0-500,0-100,25-30
1688,2011,05,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,200-300,20-25
1689,2011,07,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
1690,1998,09,MAGDALENA,SANTA MARTA,INUNDACION,0-500,100-200,25-30
1691,2001,12,TOLIMA,MELGAR,INUNDACION,0-500,100-200,25-30
1692,2008,05,SANTANDER,RIONEGRO,INUNDACION,2000-2500,200-300,15-20
1693,2012,07,HUILA,PALERMO,INCENDIO FORESTAL,0-500,0-100,25-30
1694,2011,07,MAGDALENA,CONCORDIA,INUNDACION,1500-2000,100-200,15-20
1695,2006,11,CORDOBA,PUERTO ESCONDIDO,MAREJADAS,0-500,100-200,25-30
1696,2012,08,SANTANDER,CHARALA,VENDAVAL,1000-1500,200-300,20-25
1697,2010,07,BOYACA,DUITAMA,INUNDACION,2500-3000,0-100,10-15
1698,2001,05,VALLE DEL CAUCA,BUENAVENTURA,INCENDIO ESTRUCTURAL,0-500,600-700,25-30
1699,2011,10,VALLE DEL CAUCA,EL CERRITO,INUNDACION,2500-3000,100-200,10-15
1700,2005,11,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,200-300,25-30
1701,2011,04,VALLE DEL CAUCA,CALI,DESLIZAMIENTO,500-1000,100-200,25-30
1702,2001,01,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,100-200,20-25
1703,2004,06,CAQUETA,SOLANO,INUNDACION,0-500,300-400,20-25
1704,2013,10,NORTE DE SANTANDER,SALAZAR,ACCIDENTE,1000-1500,400-500,20-25
1705,1998,11,VALLE DEL CAUCA,FLORIDA,DESLIZAMIENTO,1000-1500,100-200,20-25
1706,2012,03,ANTIOQUIA,TURBO,INCENDIO FORESTAL,0-500,0-100,25-30
1707,2011,08,TOLIMA,CAJAMARCA,DESLIZAMIENTO,2000-2500,0-100,15-20
1708,2008,08,SANTANDER,EL CARMEN DE CHUCURI,INUNDACION,500-1000,200-300,20-25
1709,2012,12,TOLIMA,LERIDA,INUNDACION,0-500,0-100,25-30
1710,2002,03,LA GUAJIRA,URIBIA,SEQUIA,0-500,0-100,25-30
1711,2013,01,SANTANDER,MOGOTES,INCENDIO FORESTAL,1500-2000,0-100,15-20
1712,2009,10,MAGDALENA,SALAMINA,INUNDACION,2500-3000,200-300,10-15
