id,Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
8706,2007,11,BOLIVAR,EL GUAMO,INUNDACION,0-500,0-100,25-30
8707,2007,05,SANTANDER,PUERTO WILCHES,INUNDACION,0-500,300-400,25-30
8708,2009,09,CORDOBA,MONTERIA,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
8709,2007,11,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,0-500,200-300,25-30
8710,2012,04,CALDAS,SAMANA,INUNDACION,1000-1500,600-700,15-20
8711,2011,02,NARINO,ALBAN,DESLIZAMIENTO,2000-2500,100-200,15-20
8712,2010,11,TOLIMA,IBAGUE,INUNDACION,500-1000,100-200,20-25
8713,2008,07,SUCRE,MAJAGUAL,INUNDACION,0-500,300-400,25-30
8714,2010,12,CALDAS,MANIZALES,INCENDIO ESTRUCTURAL,2000-2500,100-200,15-20
8715,2013,04,NORTE DE SANTANDER,CHINACOTA,INCENDIO FORESTAL,1000-1500,100-200,20-25
8716,1998,05,META,VILLAVICENCIO,DESLIZAMIENTO,0-500,600-700,25-30
8717,2010,12,ANTIOQUIA,CANASGORDAS,INUNDACION,1000-1500,100-200,20-25
8718,2012,07,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
8719,2012,03,CAQUETA,SAN JOSE DEL FRAGUA,VENDAVAL,0-500,300-400,25-30
8720,2010,12,HUILA,COLOMBIA,DESLIZAMIENTO,1000-1500,100-200,15-20
8721,2010,10,NORTE DE SANTANDER,HERRAN,DESLIZAMIENTO,2500-3000,100-200,10-15
8722,2013,02,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,100-200,20-25
8723,2013,02,CUNDINAMARCA,YACOPI,DESLIZAMIENTO,1000-1500,100-200,20-25
8724,2002,08,TOLIMA,MELGAR,INCENDIO FORESTAL,0-500,0-100,25-30
8725,2004,11,NORTE DE SANTANDER,EL ZULIA,INUNDACION,0-500,200-300,25-30
8726,2010,07,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
8727,2000,05,TOLIMA,CAJAMARCA,DESLIZAMIENTO,2000-2500,100-200,15-20
8728,2012,03,MAGDALENA,CIENAGA,INCENDIO FORESTAL,0-500,0-100,25-30
8729,2011,06,RISARALDA,PUEBLO RICO,INUNDACION,1500-2000,100-200,15-20
8730,2009,08,ANTIOQUIA,SAN CARLOS,INUNDACION,1000-1500,300-400,20-25
8731,2010,03,CAQUETA,BELEN DE LOS ANDAQUIES,DESLIZAMIENTO,0-500,300-400,25-30
8732,2004,05,CAUCA,FLORENCIA,INUNDACION,0-500,400-500,20-25
8733,2005,05,SANTANDER,PUERTO WILCHES,INUNDACION,0-500,300-400,25-30
8734,2009,10,CAUCA,CAJIBIO,VENDAVAL,1500-2000,200-300,15-20
8735,2011,04,HUILA,NEIVA,DESLIZAMIENTO,1500-2000,100-200,15-20
8736,2012,06,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,0-100,20-25
8737,2011,10,NORTE DE SANTANDER,EL ZULIA,EXPLOSION,0-500,200-300,25-30
8738,1998,02,LA GUAJIRA,URIBIA,SEQUIA,0-500,0-100,25-30
8739,2012,07,CUNDINAMARCA,TENJO,INUNDACION,2500-3000,0-100,10-15
8740,2013,09,HUILA,CAMPOALEGRE,INCENDIO FORESTAL,500-1000,0-100,25-30
8741,2011,11,RISARALDA,PEREIRA,INUNDACION,1000-1500,200-300,20-25
8742,2012,09,VALLE DEL CAUCA,YUMBO,INCENDIO FORESTAL,1500-2000,0-100,20-25
8743,2012,07,VALLE DEL CAUCA,YUMBO,INCENDIO FORESTAL,1500-2000,0-100,20-25
8744,2007,04,ANTIOQUIA,MEDELLIN,INUNDACION,1000-1500,100-200,20-25
8745,2010,09,META,VILLAVICENCIO,VENDAVAL,0-500,400-500,25-30
8746,1998,10,CHOCO,BOJAYA,INUNDACION,0-500,300-400,25-30
8747,2003,01,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,0-100,20-25
8748,1999,12,VALLE DEL CAUCA,BUGALAGRANDE,INUNDACION,1000-1500,100-200,20-25
8749,2008,11,NORTE DE SANTANDER,OCANA,INUNDACION,1000-1500,0-100,20-25
8750,2011,02,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
8751,2011,04,CUNDINAMARCA,CHOACHI,INUNDACION,3000-3500,100-200,5-10
8752,2011,11,HUILA,NEIVA,INUNDACION,1500-2000,200-300,15-20
8753,1999,04,META,CUMARAL,INUNDACION,0-500,400-500,25-30
8754,2012,01,VICHADA,CUMARIBO,INCENDIO FORESTAL,0-500,0-100,25-30
8755,2006,04,TOLIMA,NATAGAIMA,INUNDACION,0-500,100-200,25-30
8756,2007,05,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
8757,2013,10,LA GUAJIRA,RIOHACHA,ACCIDENTE,0-500,100-200,25-30
8758,2007,12,CORDOBA,LORICA,INUNDACION,0-500,0-100,25-30
8759,2013,03,CUNDINAMARCA,SOACHA,DESLIZAMIENTO,2500-3000,0-100,10-15
8760,2012,06,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
8761,2011,05,CESAR,VALLEDUPAR,INUNDACION,0-500,100-200,25-30
8762,2005,11,META,VILLAVICENCIO,INUNDACION,0-500,400-500,25-30
8763,2012,09,CUNDINAMARCA,YACOPI,VENDAVAL,1000-1500,200-300,20-25
8764,2013,04,CAUCA,SANTANDER DE QUILICHAO,VENDAVAL,1000-1500,200-300,20-25
8765,2013,07,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,100-200,20-25
8766,2006,05,SANTANDER,CIMITARRA,INUNDACION,0-500,200-300,25-30
8767,2011,10,CHOCO,LLORO,VENDAVAL,0-500,600-700,25-30
8768,2013,04,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
8769,2012,01,VALLE DEL CAUCA,BUGALAGRANDE,INUNDACION,1000-1500,0-100,20-25
8770,2012,03,NORTE DE SANTANDER,CUCUTA,VENDAVAL,0-500,100-200,25-30
8771,2002,08,CORDOBA,SAN BERNARDO DEL VIENTO,VENDAVAL,0-500,100-200,25-30
8772,2008,03,TOLIMA,COYAIMA,INUNDACION,0-500,100-200,25-30
8773,2011,04,TOLIMA,PLANADAS,DESLIZAMIENTO,1000-1500,200-300,20-25
8774,2012,06,NARINO,CHACHAGUI,INUNDACION,1500-2000,0-100,15-20
8775,2010,11,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,20-25
8776,2005,05,CUNDINAMARCA,GACHETA,INUNDACION,1500-2000,100-200,15-20
8777,1999,06,CAQUETA,EL DONCELLO,INUNDACION,0-500,300-400,20-25
8778,2002,07,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
8779,2011,11,CAUCA,LA SIERRA,VENDAVAL,1500-2000,300-400,15-20
8780,2013,10,ARAUCA,ARAUCA,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
8781,2012,09,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,100-200,25-30
8782,2012,05,CALDAS,SAMANA,INUNDACION,1000-1500,600-700,15-20
8783,2013,05,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,100-200,25-30
8784,2010,04,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
8785,2007,05,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
8786,2013,10,CORDOBA,MONTELIBANO,DESLIZAMIENTO,0-500,200-300,25-30
8787,2011,11,BOYACA,DUITAMA,INUNDACION,2500-3000,200-300,10-15
8788,2013,09,TOLIMA,GUAMO,INCENDIO FORESTAL,0-500,100-200,25-30
8789,2012,12,SANTANDER,CHIMA,INUNDACION,1000-1500,100-200,20-25
8790,2012,07,BOGOTA DC,BOGOTA DC,INCENDIO FORESTAL,2500-3000,0-100,10-15
8791,2013,06,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1000-1500,0-100,20-25
8792,2013,05,CESAR,MANAURE,DESLIZAMIENTO,0-500,0-100,25-30
8793,2006,11,TOLIMA,COYAIMA,INUNDACION,0-500,100-200,25-30
8794,2000,01,CAUCA,ARGELIA,INUNDACION,1500-2000,0-100,20-25
8795,2005,08,RISARALDA,PEREIRA,VENDAVAL,1000-1500,100-200,20-25
8796,2012,02,NORTE DE SANTANDER,EL TARRA,INUNDACION,0-500,0-100,25-30
8797,2005,02,SANTANDER,BUCARAMANGA,INUNDACION,1000-1500,0-100,20-25
8798,2013,05,NORTE DE SANTANDER,SILOS,DESLIZAMIENTO,2500-3000,100-200,10-15
8799,2005,05,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,200-300,20-25
8800,2010,09,LA GUAJIRA,RIOHACHA,TORMENTA ELECTRICA,0-500,100-200,25-30
8801,2004,10,MAGDALENA,ZONA BANANERA,INUNDACION,0-500,200-300,25-30
8802,2004,11,NARINO,ALBAN,INUNDACION,2000-2500,100-200,15-20
8803,2005,11,CHOCO,MEDIO SAN JUAN,INUNDACION,0-500,500-600,25-30
8804,2011,07,NORTE DE SANTANDER,CACHIRA,INUNDACION,1500-2000,0-100,15-20
8805,2012,09,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
8806,2010,03,NARINO,TAMINANGO,SEQUIA,1500-2000,100-200,15-20
8807,2008,10,SANTANDER,PUERTO PARRA,INUNDACION,0-500,300-400,25-30
8808,2009,03,VALLE DEL CAUCA,CALI,COLAPSO,500-1000,0-100,25-30
8809,2000,09,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,200-300,25-30
8810,2013,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
8811,2012,07,NARINO,CHACHAGUI,INCENDIO FORESTAL,1500-2000,0-100,15-20
8812,2003,10,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,100-200,10-15
8813,2013,04,ANTIOQUIA,CAREPA,INUNDACION,0-500,200-300,25-30
8814,2000,04,HUILA,PALERMO,INUNDACION,0-500,100-200,25-30
8815,2013,09,VALLE DEL CAUCA,BUGALAGRANDE,INCENDIO FORESTAL,1000-1500,100-200,20-25
8816,2003,01,TOLIMA,HONDA,AVALANCHA,0-500,0-100,25-30
8817,2010,11,NARINO,CHACHAGUI,DESLIZAMIENTO,1500-2000,100-200,15-20
8818,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
8819,2008,12,CESAR,SAN DIEGO,INUNDACION,0-500,0-100,25-30
8820,2001,10,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,100-200,25-30
8821,1999,10,BOLIVAR,SAN PABLO,INUNDACION,0-500,300-400,25-30
8822,2011,06,ANTIOQUIA,TURBO,VENDAVAL,0-500,200-300,25-30
8823,2006,10,LA GUAJIRA,MAICAO,VENDAVAL,0-500,200-300,25-30
8824,2008,11,CAUCA,PUERTO TEJADA,INUNDACION,1000-1500,100-200,20-25
8825,2008,11,HUILA,GIGANTE,ERUPCION,1500-2000,100-200,15-20
8826,2013,01,HUILA,LA PLATA,INCENDIO FORESTAL,1000-1500,100-200,20-25
8827,2013,07,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,100-200,20-25
8828,2011,04,NORTE DE SANTANDER,PAMPLONA,INCENDIO ESTRUCTURAL,2000-2500,100-200,15-20
8829,1999,01,BOLIVAR,EL GUAMO,INUNDACION,0-500,0-100,25-30
8830,2013,04,CHOCO,MEDIO SAN JUAN,ACCIDENTE MINERO,0-500,400-500,25-30
8831,2012,09,VALLE DEL CAUCA,YUMBO,INCENDIO FORESTAL,1500-2000,0-100,20-25
8832,2001,09,CAUCA,BOLIVAR,VENDAVAL,2000-2500,0-100,15-20
8833,2010,07,BOYACA,PUERTO BOYACA,INUNDACION,0-500,100-200,25-30
8834,2002,05,CASANARE,YOPAL,INUNDACION,0-500,300-400,25-30
8835,2012,09,CAUCA,SOTARA,INCENDIO FORESTAL,2000-2500,0-100,10-15
8836,2005,05,ANTIOQUIA,ARBOLETES,INUNDACION,0-500,200-300,25-30
8837,2003,02,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,0-100,20-25
8838,2004,10,CORDOBA,CERETE,INUNDACION,0-500,0-100,25-30
8839,2013,05,HUILA,NEIVA,INUNDACION,1500-2000,100-200,15-20
8840,2012,01,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
8841,2013,04,TOLIMA,ROVIRA,DESLIZAMIENTO,2000-2500,200-300,15-20
8842,2012,09,ANTIOQUIA,ARBOLETES,VENDAVAL,0-500,100-200,25-30
8843,2006,11,MAGDALENA,CIENAGA,INUNDACION,0-500,0-100,25-30
8844,2012,09,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
8845,2000,05,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
8846,2001,05,SANTANDER,LEBRIJA,INUNDACION,1000-1500,100-200,20-25
8847,2010,05,SANTANDER,BOLIVAR,INUNDACION,2000-2500,100-200,15-20
8848,2011,10,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,100-200,20-25
8849,2008,11,CHOCO,SAN JOSE DEL PALMAR,INUNDACION,1000-1500,500-600,20-25
8850,2013,07,SANTANDER,GIRON,INCENDIO FORESTAL,500-1000,0-100,25-30
8851,2013,02,BOGOTA DC,BOGOTA DC,EXPLOSION,2500-3000,0-100,10-15
8852,2012,04,VALLE DEL CAUCA,CALI,INUNDACION,500-1000,100-200,25-30
8853,2013,06,RISARALDA,PEREIRA,VENDAVAL,1000-1500,100-200,20-25
8854,2012,07,SANTANDER,BARBOSA,INCENDIO ESTRUCTURAL,1500-2000,200-300,20-25
8855,1999,09,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,100-200,20-25
8856,2013,04,CHOCO,LLORO,VENDAVAL,0-500,700-800,25-30
8857,2013,06,TOLIMA,ESPINAL,INCENDIO FORESTAL,0-500,0-100,25-30
8858,2005,05,ANTIOQUIA,APARTADO,INUNDACION,0-500,300-400,25-30
8859,2000,08,TOLIMA,CAJAMARCA,VENDAVAL,2000-2500,0-100,15-20
8860,2012,03,CESAR,AGUSTIN CODAZZI,VENDAVAL,0-500,0-100,30-35
8861,2000,11,CESAR,VALLEDUPAR,INUNDACION,0-500,100-200,25-30
8862,2013,05,TOLIMA,VILLAHERMOSA,VENDAVAL,2000-2500,200-300,15-20
8863,2012,06,NARINO,PASTO,VENDAVAL,2500-3000,100-200,10-15
8864,2012,09,BOYACA,DUITAMA,GRANIZADA,2500-3000,100-200,10-15
8865,2002,04,CHOCO,LLORO,INUNDACION,0-500,700-800,25-30
8866,2005,09,CHOCO,MEDIO SAN JUAN,INUNDACION,0-500,600-700,25-30
8867,1998,07,META,GRANADA,INUNDACION,0-500,200-300,20-25
8868,2011,10,CALDAS,MANIZALES,INUNDACION,2000-2500,200-300,15-20
8869,2006,06,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,700-800,25-30
8870,1999,02,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,0-100,25-30
8871,2008,06,META,VILLAVICENCIO,DESLIZAMIENTO,0-500,500-600,20-25
8872,2008,12,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
8873,2013,04,NARINO,LA UNION,VENDAVAL,2000-2500,300-400,15-20
8874,2011,05,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
8875,2007,11,LA GUAJIRA,FONSECA,VENDAVAL,0-500,0-100,25-30
8876,2012,02,META,VILLAVICENCIO,CONTAMINACION,0-500,100-200,25-30
8877,2011,06,CUNDINAMARCA,SAN BERNARDO,VENDAVAL,2000-2500,0-100,15-20
8878,2011,04,CHOCO,CONDOTO,INCENDIO ESTRUCTURAL,0-500,600-700,25-30
8879,2011,06,ANTIOQUIA,PUERTO BERRIO,EXPLOSION,0-500,200-300,25-30
8880,2013,04,QUINDIO,ARMENIA,VENDAVAL,1000-1500,200-300,20-25
8881,2008,11,CHOCO,CONDOTO,INUNDACION,0-500,500-600,25-30
8882,2007,09,SANTANDER,RIONEGRO,VENDAVAL,2000-2500,200-300,15-20
8883,2000,05,HUILA,ALTAMIRA,INUNDACION,1000-1500,100-200,20-25
8884,2007,02,QUINDIO,CALARCA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
8885,2002,08,SUCRE,COROZAL,VENDAVAL,0-500,100-200,25-30
8886,2013,05,TOLIMA,ARMERO,INUNDACION,0-500,200-300,25-30
8887,2009,08,ANTIOQUIA,SAN ROQUE,VENDAVAL,500-1000,200-300,20-25
8888,2005,02,NARINO,CHACHAGUI,DESLIZAMIENTO,1500-2000,0-100,15-20
8889,1998,09,BOYACA,RAMIRIQUI,DESLIZAMIENTO,2000-2500,0-100,15-20
8890,2007,05,CESAR,AGUSTIN CODAZZI,INUNDACION,0-500,200-300,25-30
8891,2011,08,ATLANTICO,BARRANQUILLA,COLAPSO,0-500,0-100,25-30
8892,2006,12,LA GUAJIRA,DIBULLA,VENDAVAL,0-500,0-100,25-30
8893,2013,09,BOGOTA DC,BOGOTA DC,INCENDIO FORESTAL,2500-3000,0-100,10-15
8894,2013,07,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
8895,2002,03,NARINO,SAN ANDRES DE TUMACO,CONTAMINACION,0-500,200-300,25-30
8896,2012,03,META,VILLAVICENCIO,COLAPSO,0-500,200-300,25-30
8897,2005,02,CHOCO,QUIBDO,INUNDACION,0-500,500-600,25-30
8898,2002,07,META,PUERTO RICO,INUNDACION,0-500,400-500,20-25
8899,2012,05,CALDAS,SUPIA,INUNDACION,1000-1500,200-300,20-25
8900,2011,05,NARINO,SAPUYES,DESLIZAMIENTO,3000-3500,100-200,10-15
8901,2000,10,MAGDALENA,CIENAGA,DESLIZAMIENTO,0-500,100-200,25-30
8902,2006,08,VALLE DEL CAUCA,BUENAVENTURA,VENDAVAL,0-500,700-800,25-30
8903,2011,02,HUILA,PITALITO,INCENDIO ESTRUCTURAL,1000-1500,0-100,20-25
8904,1999,11,CORDOBA,LORICA,INUNDACION,0-500,100-200,25-30
8905,2000,05,TOLIMA,SAN ANTONIO,DESLIZAMIENTO,1500-2000,200-300,20-25
8906,2011,04,HUILA,SUAZA,DESLIZAMIENTO,1000-1500,100-200,20-25
8907,2010,05,BOYACA,TUNJA,INUNDACION,2500-3000,0-100,10-15
8908,2012,01,CUNDINAMARCA,ANAPOIMA,DESLIZAMIENTO,500-1000,0-100,25-30
8909,2013,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
8910,2005,09,BOLIVAR,MONTECRISTO,AVALANCHA,0-500,400-500,25-30
8911,1999,07,SUCRE,SAN BENITO ABAD,INUNDACION,0-500,200-300,25-30
8912,2013,07,CUNDINAMARCA,MADRID,INCENDIO FORESTAL,2500-3000,0-100,10-15
8913,2011,11,CHOCO,RIOSUCIO,INUNDACION,0-500,200-300,25-30
8914,2005,11,SANTANDER,PUERTO PARRA,INUNDACION,0-500,200-300,25-30
8915,1998,01,CORDOBA,BUENAVISTA,INC.ESTRUCTURAL,2000-2500,0-100,15-20
8916,2013,07,NARINO,PASTO,DESLIZAMIENTO,2500-3000,100-200,10-15
8917,2011,05,ANTIOQUIA,LA UNION,VENDAVAL,2000-2500,300-400,15-20
8918,2012,04,SANTANDER,BARBOSA,INUNDACION,1500-2000,100-200,20-25
8919,2011,12,NORTE DE SANTANDER,CUCUTA,INUNDACION,0-500,200-300,25-30
8920,2010,06,CUNDINAMARCA,SOACHA,DESLIZAMIENTO,2500-3000,0-100,10-15
8921,2007,03,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,500-600,25-30
8922,2008,02,CAQUETA,SOLANO,VENDAVAL,0-500,100-200,25-30
8923,2007,10,VALLE DEL CAUCA,ARGELIA,INUNDACION,1500-2000,100-200,20-25
8924,2013,07,QUINDIO,ARMENIA,COLAPSO,1000-1500,100-200,20-25
8925,2005,11,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,200-300,25-30
8926,2009,09,VALLE DEL CAUCA,TULUA,VENDAVAL,2500-3000,0-100,10-15
8927,2012,09,SANTANDER,GIRON,INCENDIO FORESTAL,500-1000,0-100,25-30
8928,2012,10,CAQUETA,PUERTO RICO,INUNDACION,0-500,300-400,25-30
8929,2010,11,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
8930,2001,01,CUNDINAMARCA,GUASCA,INCENDIO FORESTAL,2500-3000,0-100,10-15
8931,2011,06,CUNDINAMARCA,GACHETA,INUNDACION,1500-2000,100-200,15-20
8932,2010,06,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,0-100,25-30
8933,2004,10,BOLIVAR,ARJONA,INUNDACION,0-500,100-200,25-30
8934,2007,12,NARINO,BARBACOAS,INUNDACION,1000-1500,400-500,20-25
8935,2011,08,CHOCO,SAN JOSE DEL PALMAR,DESLIZAMIENTO,1000-1500,200-300,20-25
8936,2007,05,SUCRE,MAJAGUAL,INUNDACION,0-500,300-400,25-30
8937,2013,01,BOYACA,VILLA DE LEYVA,INCENDIO FORESTAL,2000-2500,0-100,15-20
8938,2013,02,CASANARE,AGUAZUL,INCENDIO FORESTAL,0-500,0-100,25-30
8939,2005,02,TOLIMA,COYAIMA,INUNDACION,0-500,100-200,25-30
8940,1999,04,META,VISTAHERMOSA,INUNDACION,0-500,300-400,25-30
8941,2010,10,CESAR,CHIRIGUANA,INUNDACION,0-500,200-300,25-30
8942,2009,03,LA GUAJIRA,FONSECA,VENDAVAL,0-500,0-100,25-30
8943,2005,11,NORTE DE SANTANDER,CACHIRA,DESLIZAMIENTO,1500-2000,100-200,15-20
8944,2010,05,CASANARE,VILLANUEVA,INUNDACION,0-500,400-500,25-30
8945,2011,06,SANTANDER,ZAPATOCA,INUNDACION,1500-2000,100-200,15-20
8946,2012,03,HUILA,GIGANTE,DESLIZAMIENTO,1500-2000,100-200,20-25
8947,2003,10,VALLE DEL CAUCA,CALI,DESLIZAMIENTO,500-1000,100-200,20-25
8948,2011,12,CAUCA,PATIA,DESLIZAMIENTO,500-1000,200-300,25-30
8949,2009,04,CESAR,SAN MARTIN,INUNDACION,0-500,300-400,25-30
8950,2008,11,SANTANDER,RIONEGRO,AVALANCHA,2000-2500,100-200,15-20
8951,2012,01,CASANARE,OROCUE,INCENDIO FORESTAL,0-500,0-100,25-30
8952,2010,07,ATLANTICO,JUAN DE ACOSTA,INUNDACION,0-500,100-200,25-30
8953,2010,05,SANTANDER,GIRON,INUNDACION,500-1000,100-200,25-30
8954,2008,06,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,200-300,25-30
8955,2004,11,BOLIVAR,EL GUAMO,INUNDACION,0-500,0-100,25-30
8956,1999,02,CAUCA,MIRANDA,INUNDACION,1000-1500,100-200,20-25
8957,2012,09,CAUCA,LA SIERRA,SISMO,1500-2000,100-200,15-20
8958,2012,01,CHOCO,BAHIA SOLANO,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
8959,2000,03,VALLE DEL CAUCA,SEVILLA,DESLIZAMIENTO,1500-2000,200-300,15-20
8960,2006,05,CALDAS,ANSERMA,DESLIZAMIENTO,1500-2000,200-300,15-20
8961,2013,04,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,100-200,25-30
8962,2013,03,BOYACA,PAIPA,INCENDIO FORESTAL,2000-2500,0-100,15-20
8963,2007,12,CALDAS,SUPIA,INUNDACION,1000-1500,100-200,20-25
8964,2013,10,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,200-300,15-20
8965,2009,03,VALLE DEL CAUCA,TULUA,AVALANCHA,2500-3000,0-100,10-15
8966,2004,11,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
8967,2002,06,CUNDINAMARCA,PUERTO SALGAR,INUNDACION,0-500,100-200,25-30
8968,2013,05,CAQUETA,SAN VICENTE DEL CAGUAN,INUNDACION,0-500,300-400,25-30
8969,2013,02,VALLE DEL CAUCA,BUENAVENTURA,VENDAVAL,0-500,200-300,25-30
8970,2013,03,CUNDINAMARCA,MADRID,INUNDACION,2500-3000,0-100,10-15
8971,2006,04,SANTANDER,PUERTO WILCHES,INUNDACION,0-500,200-300,25-30
8972,2003,05,BOLIVAR,MONTECRISTO,AVALANCHA,0-500,500-600,25-30
8973,2013,04,SANTANDER,BARRANCABERMEJA,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
8974,2011,06,NARINO,ALBAN,DESLIZAMIENTO,2000-2500,0-100,15-20
8975,2005,10,HUILA,GARZON,INUNDACION,1000-1500,100-200,20-25
8976,2010,10,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,1000-1500,200-300,20-25
8977,2013,07,ANTIOQUIA,APARTADO,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
8978,2011,04,TOLIMA,CHAPARRAL,DESLIZAMIENTO,1000-1500,300-400,20-25
8979,2012,08,NARINO,CHACHAGUI,INCENDIO FORESTAL,1500-2000,0-100,20-25
8980,2010,11,NARINO,BARBACOAS,INUNDACION,1000-1500,400-500,20-25
8981,2004,12,CAQUETA,BELEN DE LOS ANDAQUIES,VENDAVAL,0-500,100-200,25-30
8982,2012,12,TOLIMA,VILLAHERMOSA,INUNDACION,2000-2500,100-200,15-20
8983,2013,01,BOYACA,SOGAMOSO,INCENDIO FORESTAL,2500-3000,0-100,10-15
8984,1998,04,BOYACA,CUBARA,EROSION,0-500,300-400,20-25
8985,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
8986,1999,11,CAUCA,LA SIERRA,DESLIZAMIENTO,1500-2000,300-400,15-20
8987,2011,10,LA GUAJIRA,RIOHACHA,VENDAVAL,0-500,100-200,25-30
8988,2008,09,CASANARE,YOPAL,VENDAVAL,0-500,200-300,25-30
8989,2008,07,MAGDALENA,ZONA BANANERA,VENDAVAL,0-500,100-200,25-30
8990,2007,11,BOLIVAR,PINILLOS,INUNDACION,0-500,200-300,25-30
8991,2007,08,ANTIOQUIA,CHIGORODO,INUNDACION,0-500,400-500,25-30
8992,1998,04,CAUCA,BOLIVAR,DESLIZAMIENTO,2000-2500,100-200,15-20
8993,2012,02,CORDOBA,MONTERIA,INCENDIO FORESTAL,0-500,0-100,25-30
8994,2013,05,ANTIOQUIA,CANASGORDAS,DESLIZAMIENTO,1000-1500,200-300,20-25
8995,2012,12,CORDOBA,SAN BERNARDO DEL VIENTO,VENDAVAL,0-500,100-200,25-30
8996,2005,03,VALLE DEL CAUCA,BUENAVENTURA,SISMO,0-500,300-400,25-30
8997,2013,01,BOYACA,PAIPA,EXPLOSION,2000-2500,0-100,10-15
8998,2012,07,CHOCO,QUIBDO,INUNDACION,0-500,800-900,25-30
8999,2011,04,VALLE DEL CAUCA,TULUA,INUNDACION,2500-3000,100-200,10-15
9000,2008,03,HUILA,SAN AGUSTIN,DESLIZAMIENTO,1500-2000,100-200,15-20
9001,2011,12,NORTE DE SANTANDER,CHINACOTA,COLAPSO,1000-1500,100-200,15-20
9002,2010,01,CAUCA,GUAPI,SISMO,0-500,400-500,25-30
9003,2010,09,BOLIVAR,SAN PABLO,INUNDACION,0-500,300-400,25-30
9004,2012,03,NARINO,SAMANIEGO,DESLIZAMIENTO,1500-2000,100-200,15-20
9005,2008,11,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,1000-1500,200-300,20-25
